hub_type,slug,label,duas_covered,tier,tier_reason,primary_keyword,secondary_keywords,title_tag,meta_description,index_decision,owns_head_term,notes
occasion,praise-dhikr,Praise & Remembrance,16,B,B - Medium volume,dhikr and dua for allah's praise,tasbih dua; subhanallah alhamdulillah allahu akbar meaning; dua for praising allah,Dhikr and dua for allah's praise – Authentic Duas,"Authentic duas and dhikr for praising and remembering Allah, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Overlaps with morning-evening hub; keep distinct by focusing this one on tasbih/dhikr counts rather than time-of-day. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,weather-nature,Weather & Nature,12,B,"B - Medium volume, seasonal",dua for rain,dua for thunder; dua when it rains; dua for wind; dua for natural disasters islam,"Dua for rain – Arabic, Transliteration & Meaning","Authentic duas for rain, wind, thunder and weather events, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Traffic spikes with actual weather events/news - consider timely social pushes during storms/droughts. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,social,Greetings & Social,11,C,C - Low-medium volume / low competition,islamic greetings and dua,how to reply to salam; dua for someone who helps you; islamic etiquette phrases,Islamic greetings and dua – Authentic Duas with Sources,"Duas and phrases for Islamic greetings and social etiquette, including replying to Salam, with Arabic and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Good for 'how to' style featured snippets (People Also Ask); low competition. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,home-clothing,Home & Clothing,10,B,B - Medium volume / low competition,dua for entering the house,dua for leaving the house; dua for new clothes; dua for wearing new clothes islam,Dua for entering the house – Authentic Duas with Sources,"Duas for entering and leaving the home, and for wearing new clothes, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Everyday habit searches with low competition - good 'easy win' hub. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,food-drink,Food & Drink,8,B,B - Medium volume / low competition,dua before eating,dua after eating; dua for drinking water; bismillah before food meaning,"Dua before eating – Arabic, Transliteration & Meaning","Authentic duas to say before and after eating and drinking, with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Extremely common everyday search, low competition vs protection/prayer hubs - quick ranking opportunity. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,guidance,Guidance & Seeking Good,5,B,B - Medium volume,dua for guidance,dua for making the right decision; istikhara dua; dua for seeking allah's help,"Dua for guidance – Arabic, Transliteration & Meaning","Duas for seeking guidance and Allah's help in decision-making, including Istikhara, with Arabic and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Feature the Istikhara dua prominently - it is the highest-volume dua in this whole bucket. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,hajj-umrah,Hajj & Umrah,5,B,"B - Medium volume, seasonal",dua for umrah,dua for hajj; dua at safa and marwah; dua at arafat; talbiyah meaning,"Dua for umrah – Arabic, Transliteration & Meaning","Authentic duas for Hajj and Umrah pilgrims, including Safa and Marwah and the Day of Arafat, with Arabic and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Massive seasonal spike in Hajj season (Dhul Hijjah) - schedule a content/promotion push then. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,fasting,Fasting & Ramadan,4,A,"A - High volume, strongly seasonal",dua for breaking fast,iftar dua; suhoor dua; ramadan dua list; dua for fasting in english,"Dua for breaking fast – Arabic, Transliteration & Meaning","Authentic duas for Ramadan, including Suhoor and Iftar, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Only 4 duas but each has enormous seasonal volume during Ramadan - punch above its weight; prioritize before Ramadan each year. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,quran-recitation,Qur'an & Recitation,2,C,C - Low volume / low competition,dua before reciting quran,dua after reading quran; dua for prostration of recitation,Dua before reciting quran – Authentic Duas with Sources,"Duas to recite before and after reading the Quran, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Thin content (2 duas) - consider folding into the Prayer or Praise & Remembrance hub, or keep with expanded educational content around Quran etiquette. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
occasion,provision,Provision & Wellbeing,2,C,C - Low volume / low competition,dua for rizq,dua for wealth and provision; dua for sustenance islam,"Dua for rizq – Arabic, Transliteration & Meaning","Duas for seeking provision, sustenance and general wellbeing, with Arabic text, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"'Dua for rizq' is a well-known searched phrase despite only 2 duas here - expand content depth (explain rizq concept) to avoid thin-content penalty. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,hisn,Hisn al-Muslim,187,A,A - High volume / high competition,hisn al muslim,hisn al muslim pdf; fortress of the muslim pdf; hisn al muslim english translation; hisn al muslim duas list,"Hisn al muslim – Arabic, Transliteration & Meaning","The complete Hisn al-Muslim (Fortress of the Muslim) dua collection online, with Arabic, transliteration and English translation for every dua.",index,yes — individual dua pages must not reuse this exact phrase,"'Hisn al Muslim pdf' is one of the single highest-volume book-name searches in this niche - this source hub can realistically outrank many competitors if built as the definitive online version. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,quran,The Qur'an,99,A,A - High volume / high competition,duas from the quran,quranic duas list; rabbana duas; 40 duas from the quran; quran duas in english,"Duas from the quran – Arabic, Transliteration & Meaning","Every supplication (dua) mentioned in the Holy Quran, including the famous 'Rabbana' duas, with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"'Rabbana duas' / '40 duas from Quran' is a very popular listicle topic on competing sites - build a strong list + link to each individual Quranic dua page. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,tirmidhi,Jami at-Tirmidhi,54,B,B - Medium volume,jami at-tirmidhi duas,sunan tirmidhi dua hadith; tirmidhi kitab al-daawat; tirmidhi hadith on supplication,"Jami at-tirmidhi duas – Arabic, Transliteration & Meaning","Authentic duas from Jami at-Tirmidhi's chapters on supplication (Kitab al-Da'awat), with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Appeals more to hadith-study audience than casual searchers; decent volume, lower competition than Hisn/Quran hubs. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,dua-dhikr,Dua & Dhikr Collection,45,X,"Internal editorial grouping, not a search term",,,,,do not build — page does not exist and should not,no,"'dua-dhikr collection' is an internal editorial grouping, not a real searched term - do not build a keyword-targeted hub around this literal label; either fold its duas into their occasion pages only, or relabel the hub around its actual theme content."
source,nasai,Sunan an-Nasa'i,36,B,B - Medium volume,sunan an-nasai duas,an-nasai kitab al-isti'adha; sunan nasai seeking refuge hadith,"Sunan an-nasai duas – Arabic, Transliteration & Meaning","Authentic duas from Sunan an-Nasa'i, especially the Seeking Refuge (Kitab al-Isti'adha) chapters, with Arabic and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Niche/student audience; low competition. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,muslim,Sahih Muslim,22,B,B - Medium volume,sahih muslim duas,sahih muslim dhikr and dua hadith; sahih muslim kitab al-dhikr wal-dua,"Sahih muslim duas – Arabic, Transliteration & Meaning","Authentic duas from Sahih Muslim's Book of Remembrance and Supplication (Kitab al-Dhikr wa'l-Du'a), with Arabic and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Sahih Muslim's name recognition helps trust/E-E-A-T signals even if raw volume is moderate. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,abudawud,Sunan Abi Dawud,21,B,B - Medium volume,sunan abi dawud duas,abu dawud witr dua; sunan abi dawud qunut dua,"Sunan abi dawud duas – Arabic, Transliteration & Meaning","Authentic Witr prayer duas from Sunan Abi Dawud, with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Strong overlap with the Qunut/Witr prayer audience - link tightly to the Prayer occasion hub. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,ibnmajah,Sunan Ibn Majah,20,B,B - Medium volume,sunan ibn majah duas,ibn majah kitab al-dua; ibn majah hadith on supplication,"Sunan ibn majah duas – Arabic, Transliteration & Meaning","Authentic duas from Sunan Ibn Majah's Book of Supplication (Kitab al-Du'a), with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Niche/student audience; low competition, decent authority value for citations. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
source,other,Other Source,15,X,"Internal editorial grouping, not a search term",,,,,do not build — page does not exist and should not,no,"Same treatment as 'dua-dhikr' - internal grouping only, not a keyword."
source,bukhari,Sahih al-Bukhari,7,A,A - High brand recognition despite low count,sahih bukhari duas,bukhari kitab al-daawat; sahih bukhari hadith on dua,"Sahih bukhari duas – Arabic, Transliteration & Meaning","Authentic duas from Sahih al-Bukhari's Book of Invocations (Kitab al-Da'awat), with Arabic, transliteration and English translation.",index,yes — individual dua pages must not reuse this exact phrase,"Bukhari is the most trusted/most-searched hadith collection by name - even with only 7 duas, this page earns outsized trust and backlink value; do not skip it. | Dua count is rendered from the corpus at build time, never hardcoded in the title."
