chapter_slug,chapter_label,duas_in_chapter,gets_static_chapter_page,collections,tier,tier_reason,keyword_rule,primary_keyword,secondary_keywords,title_tag,meta_description,keyword_was_rewritten,original_perplexity_keyword,cannibalization_flag,index_decision
invocations-for-rising-from-the-ruki,Invocations for rising from the Ruki',3,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua after rising from ruku,,Dua after rising from ruku – Arabic & English Meaning,"Dua after rising from ruku in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",yes,dua for rising from the ruki,,index
invocations-for-when-you-meet-an-adversary-or-a-powerful-rul,Invocations for when you meet an adversary or a powerful ruler.,3,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua when you meet an adversary or a powerful ruler,dua when you meet an adversary or a powerful ruler in english; dua when you meet an adversary or a powerful ruler transliteration; dua when you meet an adversary or a powerful ruler with meaning; short dua when you meet an adversary or a powerful ruler,Dua when you meet an adversary or a powerful ruler,"Dua when you meet an adversary or a powerful ruler in Arabic with transliteration and English translation, sourced from Hisn al-Muslim.",no,dua when you meet an adversary or a powerful ruler,,index
invocations-of-the-terminal-ill,Invocations of the terminal ill,3,yes,Hisn al-Muslim,B,B - Medium volume / medium competition,use_as_is,dua for the terminally ill,,Dua for the terminally ill – Arabic & English Meaning,"Dua for the terminally ill in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",yes,dua for the terminal ill,,index
some-invocations-for-rain,Some invocations for rain,3,yes,Hisn al-Muslim,B,"B - Medium volume, seasonal",use_as_is,duas for rain and drought,dua when it rains; istisqa dua; dua for rain in english,Duas for rain and drought – Arabic & Meaning,"Duas for rain and drought in Arabic, transliteration and English, from Hisn al-Muslim.",no,dua for rain,"RESOLVED: Hub occasion/weather-nature owns ""dua for rain""; chapter takes the list variant",index
what-to-say-upon-completing-ablution,What to say upon completing ablution,3,yes,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua after wudu,dua after ablution; dua after wudu in english; wudu dua transliteration,"Dua after wudu – Arabic, Transliteration & Meaning","Dua after wudu in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",no,dua after wudu,,index
how-to-recite-blessings-on-the-prophet-after-the-tashahhud,How to recite blessings on the Prophet after the Tashahhud,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,durood after tashahhud,,,,yes,dua for recite blessings on the prophet after the tashahhud,,no chapter page — duas surface via occasion/source hubs only
invocations-after-eating,Invocations after eating,2,no,"dua-dhikr collection, Hisn al-Muslim",B,B - Medium volume,use_as_is,dua after eating,alhamdulillah dua after eating; dua after meal in english,,,no,dua after eating,,no chapter page — duas surface via occasion/source hubs only
invocations-against-the-oppression-of-rulers,Invocations against the oppression of rulers,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua against oppression,,,,yes,dua for the oppression of rulers,,no chapter page — duas surface via occasion/source hubs only
invocations-before-eating,Invocations before eating,2,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua before eating,bismillah dua before eating; dua before eating food in english,,,no,dua before eating,COLLISION: 'dua before eating' is owned by HUB occasion/food-drink. Chapter page must target the plural/list variant or be noindex.,no chapter page — duas surface via occasion/source hubs only
invocations-for-a-child-in-the-funeral-prayer,Invocations for a child in the Funeral prayer,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua for a child in the funeral prayer,dua for a child in the funeral prayer in english; dua for a child in the funeral prayer transliteration; dua for a child in the funeral prayer with meaning; short dua for a child in the funeral prayer,,,no,dua for a child in the funeral prayer,,no chapter page — duas surface via occasion/source hubs only
invocations-for-breaking-the-fast,Invocations for breaking the fast,2,no,"dua-dhikr collection, Hisn al-Muslim",B,"B - Medium-high volume, seasonal (Ramadan)",use_as_is,dua for breaking fast,iftar dua; dua for iftar in english; dua for breaking fast ramadan,,,no,dua for breaking fast,,no chapter page — duas surface via occasion/source hubs only
invocations-for-if-you-are-stricken-by-in-your-faith,Invocations for if you are stricken by in your faith,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua for doubts in faith,,,,yes,dua if you are stricken by in your faith,,no chapter page — duas surface via occasion/source hubs only
invocations-for-sitting-between-two-prostrations,Invocations for sitting between two prostrations,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua for sitting between two prostrations,dua for sitting between two prostrations in english; dua for sitting between two prostrations transliteration; dua for sitting between two prostrations with meaning; short dua for sitting between two prostrations,,,no,dua for sitting between two prostrations,,no chapter page — duas surface via occasion/source hubs only
invocations-for-someone-who-has-put-on-new-clothes,Invocations for someone who has put on new clothes,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua for someone wearing new clothes,,,,yes,dua for someone who has put on new clothes,,no chapter page — duas surface via occasion/source hubs only
invocations-for-the-setting-of-a-debt,Invocations for the setting of a debt,2,no,"dua-dhikr collection, Hisn al-Muslim",C,C - Low/long-tail volume / very low competition,use_as_is,dua for debt relief,,,,yes,dua for the setting of a debt,,no chapter page — duas surface via occasion/source hubs only
invocations-for-visiting-the-sick,Invocations for visiting the sick,2,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for visiting the sick,dua for sick person recovery; dua for someone who is ill,,,no,dua for visiting the sick,,no chapter page — duas surface via occasion/source hubs only
invocations-for-when-the-wind-blows,Invocations for when the wind blows,2,no,"dua-dhikr collection, Other source",C,C - Low/long-tail volume / very low competition,use_as_is,dua when the wind blows,dua when the wind blows in english; dua when the wind blows transliteration; dua when the wind blows with meaning; short dua when the wind blows,,,no,dua when the wind blows,,no chapter page — duas surface via occasion/source hubs only
invocations-in-times-of-worry-and-grief,Invocations in times of worry and grief,2,no,Hisn al-Muslim,B,B - Medium-high volume,use_as_is,dua for worry and grief,hasbunallahu wa ni'mal wakeel; dua for anxiety islam; dua for sadness,,,no,dua for worry and grief,,no chapter page — duas surface via occasion/source hubs only
supplications-for-prostrating-due-to-recitation-of-the-quran,Supplications for prostrating due to recitation of the Qur'an,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua for sajdah tilawah,,,,yes,dua for prostrating due to recitation of the quran,,no chapter page — duas surface via occasion/source hubs only
the-residents-invocations-for-the-traveler,The resident's invocations for the traveler,2,no,dua-dhikr collection,C,C - Low/long-tail volume / very low competition,use_as_is,dua for someone travelling,,,,yes,dua for invocations for the traveler,,no chapter page — duas surface via occasion/source hubs only
what-to-do-if-you-have-a-bad-dream-or-nightmare,What to do if you have a bad dream or nightmare,2,no,Hisn al-Muslim,C,C - Low/long-tail volume / very low competition,use_as_is,dua for bad dreams,,,,yes,dua for what to do if you have a bad dream or nightmare,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-leaving-the-home,What to say when leaving the home,2,no,dua-dhikr collection,B,B - Medium volume / low competition,use_as_is,dua for leaving the house,dua when leaving home; leaving house dua in english,,,no,dua for leaving the house,,no chapter page — duas surface via occasion/source hubs only
what-to-say-when-surprised-or-startled,What to say when surprised or startled,2,no,dua-dhikr collection,C,C - Low/long-tail volume / very low competition,use_as_is,dua when startled,,,,yes,dua for surprised or startled,,no chapter page — duas surface via occasion/source hubs only
a-dinner-guests-invocation-for-his-host,A dinner guest's invocation for his host,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for the host after eating,,,,yes,dua for invocation for his host,,no chapter page — duas surface via occasion/source hubs only
congratulations-for-new-parents-and-how-they-should-respond,Congratulations for new parents and how they should respond,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for newborn baby,islamic congratulations for new baby; dua for new parents; tahnik dua,,,no,dua for newborn baby,,no chapter page — duas surface via occasion/source hubs only
glorifying-and-magnifying-allah-on-the-journey,Glorifying and magnifying Allah on the journey,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dhikr while travelling,,,,yes,dua for glorifying and magnifying allah on the journey,,no chapter page — duas surface via occasion/source hubs only
how-a-muslim-should-praise-another-muslim,How a Muslim should praise another Muslim,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,how to praise someone in islam,,,,yes,dua for praise another muslim,,no chapter page — duas surface via occasion/source hubs only
how-to-reply-to-a-disbeliever-if-he-says-salam-to-you,How to reply to a disbeliever if he says Salam to you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,replying to salam from a non-muslim,,,,yes,dua for reply to a disbeliever if he says salam to you,,no chapter page — duas surface via occasion/source hubs only
how-to-seek-allahs-protection-for-children,How to seek Allah's protection for children,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for protection of children,,,,yes,dua for seek allahs protection for children,,no chapter page — duas surface via occasion/source hubs only
invocation-against-an-enemy,Invocation against an enemy,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for an enemy,dua for an enemy in english; dua for an enemy transliteration; dua for an enemy with meaning; short dua for an enemy,,,no,dua for an enemy,,no chapter page — duas surface via occasion/source hubs only
invocation-against-evil-portent,Invocation against evil portent,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for evil portent,dua for evil portent in english; dua for evil portent transliteration; dua for evil portent with meaning; short dua for evil portent,,,no,dua for evil portent,,no chapter page — duas surface via occasion/source hubs only
invocation-for-a-family-who-invites-you-to-break-your-fast-w,Invocation for a family who invites you to break your fast with them,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for a family who invites you to break your fast with them,dua for a family who invites you to break your fast with them in english; dua for a family who invites you to break your fast with them transliteration; dua for a family who invites you to break your fast with them with meaning; short dua for a family who invites you to break your fast with them,,,no,dua for a family who invites you to break your fast with them,,no chapter page — duas surface via occasion/source hubs only
invocation-for-a-layover-stopping-along-the-way-on-the-journ,Invocation for a layover (stopping along the way) on the journey,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for a layover  on the journey,dua for a layover  on the journey in english; dua for a layover  on the journey transliteration; dua for a layover  on the journey with meaning; short dua for a layover  on the journey,,,no,dua for a layover  on the journey,,no chapter page — duas surface via occasion/source hubs only
invocation-for-allahs-protection-from-the-false-messiah,Invocation for Allah's protection from the False Messiah,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for protection from dajjal,,,,yes,dua for allahs protection from the false messiah,,no chapter page — duas surface via occasion/source hubs only
invocation-for-anger,Invocation for anger,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for anger,dua to control anger; a'udhu billahi minash shaitanir rajim anger,,,no,dua for anger,,no chapter page — duas surface via occasion/source hubs only
invocation-for-at-tashahhud-sitting-in-prayer,Invocation for At-Tashahhud (sitting in prayer),1,no,Other source,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,tashahhud dua,,,,yes,dua for at-tashahhud,,no chapter page — duas surface via occasion/source hubs only
invocation-for-closing-the-eyes-of-the-dead,Invocation for closing the eyes of the dead,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for closing the eyes of the dead,dua for closing the eyes of the dead in english; dua for closing the eyes of the dead transliteration; dua for closing the eyes of the dead with meaning; short dua for closing the eyes of the dead,,,no,dua for closing the eyes of the dead,,no chapter page — duas surface via occasion/source hubs only
invocation-for-entering-a-market,Invocation for entering a market,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for entering a market,dua for entering a market in english; dua for entering a market transliteration; dua for entering a market with meaning; short dua for entering a market,,,no,dua for entering a market,,no chapter page — duas surface via occasion/source hubs only
invocation-for-entering-a-town-or-city,Invocation for entering a town or city,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for entering a town or city,dua for entering a town or city in english; dua for entering a town or city transliteration; dua for entering a town or city with meaning; short dua for entering a town or city,,,no,dua for entering a town or city,,no chapter page — duas surface via occasion/source hubs only
invocation-for-entering-the-mosque,Invocation for entering the mosque,1,no,Hisn al-Muslim,B,B - Medium volume / low competition,use_as_is,dua for entering the mosque,dua when entering masjid; entering mosque dua in english; dua for entering mosque with right foot,,,no,dua for entering the mosque,COLLISION: 'dua for entering the mosque' is owned by FAMOUS rank 19. Chapter page must target the plural/list variant or be noindex.,no chapter page — duas surface via occasion/source hubs only
invocation-for-entering-the-restroom,Invocation for entering the restroom,1,no,Hisn al-Muslim,B,B - Medium volume / low competition,use_as_is,dua for entering the bathroom,dua before entering toilet; bathroom dua in english; dua for entering restroom transliteration,,,no,dua for entering the bathroom,,no chapter page — duas surface via occasion/source hubs only
invocation-for-fear-of-shirk,Invocation for fear of Shirk,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for fear of shirk,dua for fear of shirk in english; dua for fear of shirk transliteration; dua for fear of shirk with meaning; short dua for fear of shirk,,,no,dua for fear of shirk,,no chapter page — duas surface via occasion/source hubs only
invocation-for-going-to-the-mosque,Invocation for going to the mosque,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for going to the mosque,dua for going to the mosque in english; dua for going to the mosque transliteration; dua for going to the mosque with meaning; short dua for going to the mosque,,,no,dua for going to the mosque,,no chapter page — duas surface via occasion/source hubs only
invocation-for-leaving-the-mosque,Invocation for leaving the mosque,1,no,Hisn al-Muslim,B,B - Medium volume / low competition,use_as_is,dua for leaving the mosque,dua when leaving masjid; leaving mosque dua in english,,,no,dua for leaving the mosque,,no chapter page — duas surface via occasion/source hubs only
invocation-for-leaving-the-restroom,Invocation for leaving the restroom,1,no,dua-dhikr collection,B,B - Medium volume / low competition,use_as_is,dua for leaving the bathroom,dua after using toilet; leaving toilet dua in english,,,no,dua for leaving the bathroom,,no chapter page — duas surface via occasion/source hubs only
invocation-for-riding-in-a-vehicle-or-on-an-animal,Invocation for riding in a vehicle or on an animal,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for travelling by car,dua for riding a vehicle; travel dua in english; dua for boarding a car or plane,,,no,dua for travelling by car,,no chapter page — duas surface via occasion/source hubs only
invocation-for-sighting-the-new-moon,Invocation for sighting the new moon,1,no,Hisn al-Muslim,B,"B - Medium volume, seasonal spike (Ramadan/Eid)",use_as_is,dua for sighting the moon,ramadan moon sighting dua; new moon dua in english; dua for new hijri month,,,no,dua for sighting the moon,,no chapter page — duas surface via occasion/source hubs only
invocation-for-sneezing,Invocation for sneezing,1,no,Hisn al-Muslim,B,B - Medium volume / very low competition,use_as_is,dua for sneezing,what to say when you sneeze islam; alhamdulillah sneezing response; yarhamuk allah reply,,,no,dua for sneezing,,no chapter page — duas surface via occasion/source hubs only
invocation-for-someone-who-does-good-to-you,Invocation for someone who does good to you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for someone who does good to you,dua for someone who does good to you in english; dua for someone who does good to you transliteration; dua for someone who does good to you with meaning; short dua for someone who does good to you,,,no,dua for someone who does good to you,,no chapter page — duas surface via occasion/source hubs only
invocation-for-someone-who-gives-you-drink-or-offers-it-to-y,Invocation for someone who gives you drink or offers it to you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for someone who gives you drink or offers it to you,dua for someone who gives you drink or offers it to you in english; dua for someone who gives you drink or offers it to you transliteration; dua for someone who gives you drink or offers it to you with meaning; short dua for someone who gives you drink or offers it to you,,,no,dua for someone who gives you drink or offers it to you,,no chapter page — duas surface via occasion/source hubs only
invocation-for-someone-who-offers-you-a-share-of-his-wealth,Invocation for someone who offers you a share of his wealth,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for someone who gives you money,,,,yes,dua for someone who offers you a share of his wealth,,no chapter page — duas surface via occasion/source hubs only
invocation-for-someone-who-tells-you-i-love-you-for-the-sake,Invocation for someone who tells you I love you for the sake of Allah,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for someone who tells you i love you for the sake of allah,dua for someone who tells you i love you for the sake of allah in english; dua for someone who tells you i love you for the sake of allah transliteration; dua for someone who tells you i love you for the sake of allah with meaning; short dua for someone who tells you i love you for the sake of allah,,,no,dua for someone who tells you i love you for the sake of allah,,no chapter page — duas surface via occasion/source hubs only
invocation-for-someone-who-tells-you-may-allah-bless-you,Invocation for someone who tells you: May Allah bless you,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,reply to barakallahu feek,,,,yes,dua for someone who tells you: may allah bless you,,no chapter page — duas surface via occasion/source hubs only
invocation-for-someone-you-have-spoken-ill-to,Invocation for someone you have spoken ill to,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua after backbiting someone,,,,yes,dua for someone you have spoken ill to,,no chapter page — duas surface via occasion/source hubs only
invocation-for-the-bereaved,Invocation for the bereaved,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for someone who lost a loved one,,,,yes,dua for someone who passed away,,no chapter page — duas surface via occasion/source hubs only
invocation-for-the-groom,Invocation for the groom,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for the groom,barakallahu laka dua; islamic wedding dua for groom,,,no,dua for the groom,,no chapter page — duas surface via occasion/source hubs only
invocation-for-the-withholding-of-the-rain,Invocation for the withholding of the rain,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua to stop the rain,,,,yes,dua for the withholding of the rain,,no chapter page — duas surface via occasion/source hubs only
invocation-for-traveling,Invocation for traveling,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for traveling,dua for traveling in english; dua for traveling transliteration; dua for traveling with meaning; short dua for traveling,,,no,dua for traveling,,no chapter page — duas surface via occasion/source hubs only
invocation-for-visiting-the-graves,Invocation for visiting the graves,1,no,Hisn al-Muslim,B,B - Medium volume,use_as_is,dua for visiting graveyard,dua when visiting grave; dua for graveyard visit in english,,,no,dua for visiting graveyard,,no chapter page — duas surface via occasion/source hubs only
invocation-for-when-it-rains,Invocation for when it rains,1,no,dua-dhikr collection,B,"B - Medium volume, seasonal",use_as_is,dua when it rains,dua for rainfall; sahih dua for rain,,,no,dua when it rains,,no chapter page — duas surface via occasion/source hubs only
invocation-for-when-it-thunder,Invocation for when it thunder,1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua for thunder,,,,yes,dua when it thunder,,no chapter page — duas surface via occasion/source hubs only
invocation-for-when-something-you-dislike-happens-or-for-whe,"Invocation for when something you dislike happens, or for when you fail to achieve what you attempt to do",1,no,Hisn al-Muslim,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,"dua when something you dislike happens, or for when you fail to achieve what you attempt to do","dua when something you dislike happens, or for when you fail to achieve what you attempt to do in english; dua when something you dislike happens, or for when you fail to achieve what you attempt to do transliteration; dua when something you dislike happens, or for when you fail to achieve what you attempt to do with meaning; short dua when something you dislike happens, or for when you fail to achieve what you attempt to do",,,no,"dua when something you dislike happens, or for when you fail to achieve what you attempt to do",,no chapter page — duas surface via occasion/source hubs only
invocation-for-when-tragedy-strikes,Invocation for when tragedy strikes,1,no,dua-dhikr collection,C,C - Long-tail volume / near-zero competition (easy win),use_as_is,dua when tragedy strikes,dua when tragedy strikes in english; dua when tragedy strikes transliteration; dua when tragedy strikes with meaning; short dua when tragedy strikes,,,no,dua when tragedy strikes,,no chapter page — duas surface via occasion/source hubs only
