rank,dua_name,content_type,source_ref,canonical_owner,canonical_note,primary_keyword,secondary_keywords,title_tag,meta_description,unique_value_required,build_wave,why_high_value,corpus_id,build_status,status_note
11,Rabbana afrigh alayna sabran,quran_verse,Quran 2:250,duas,Dua page owns this head term; cross-link only,dua for patience and steadfastness,rabbana afrigh alayna sabran meaning; dua for sabr in hardship,Dua for patience and steadfastness – Arabic & Meaning,"Dua for patience and steadfastness in Arabic with transliteration and English translation, sourced from the Qur'an (2:250).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,High relevance to distress/anxiety cluster.,quran:2:250,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
12,Hasbunallahu wa ni'mal wakeel,quran_verse,Quran 3:173,duas,"DEFERRED (D-B): Qur'an Explorer has no per-verse URL, so there is no canonical target. Dua page owns the head term for now. Revisit when /quran/{surah}/{ayah} exists.",hasbunallahu wa niman wakeel,hasbunallah dua meaning; dua for trusting allah in hardship,Hasbunallahu wa niman wakeel – Arabic & English Meaning,"Hasbunallahu wa niman wakeel in Arabic with transliteration and English translation, sourced from the Qur'an (3:173).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Extremely popular phrase,  huge search volume,  often used as a standalone hashtag/quote.",quran:3:173,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
13,Rabbi ighfir li waliwalidayya,quran_verse,Quran 71:28,duas,Dua page owns this head term; cross-link only,dua for parents forgiveness,dua for parents in quran; rabbi ighfirli waliwalidayya meaning,Dua for parents forgiveness – Arabic & English Meaning,"Dua for parents forgiveness in Arabic with transliteration and English translation, sourced from the Qur'an (71:28).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,One of the most emotionally significant and frequently searched family duas.,quran:71:28,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
14,Rabbana la taj'alna fitnatan lilladhina kafaru,quran_verse,Quran 60:5,duas,Dua page owns this head term; cross-link only,dua for protection from disbelievers' mockery,rabbana la taj'alna fitnah meaning,Dua for protection from disbelievers' mockery,"Dua for protection from disbelievers' mockery in Arabic with transliteration and English translation, sourced from the Qur'an (60:5).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Moderate volume,  strong protection-cluster fit.",quran:60:5,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
15,Rabbi awzi'ni an ashkura ni'mataka,quran_verse,Quran 27:19,duas,Dua page owns this head term; cross-link only,dua of sulaiman for gratitude,dua for gratitude islam; rabbi awzini meaning,Dua of sulaiman for gratitude – Arabic & English Meaning,"Dua of sulaiman for gratitude in Arabic with transliteration and English translation, sourced from the Qur'an (27:19).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Popular 'dua for shukr/gratitude' search term.,quran:27:19,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
16,Sayyidul Istighfar,hadith_dua,Hisn al-Muslim (Bukhari),duas,Dua page owns this head term; cross-link only,sayyidul istighfar,sayyidul istighfar in english; master prayer of forgiveness; sayyidul istighfar transliteration,"Sayyidul istighfar – Arabic, Transliteration & Meaning","Sayyidul istighfar in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"One of the most-searched named duas in the entire corpus - must be a standalone,  deeply optimized page.",27:79,ready,
17,Istikharah dua,hadith_dua,Hisn al-Muslim (Bukhari),duas,Dua page owns this head term; cross-link only,dua for istikhara,istikhara dua in english; how to pray istikhara; istikhara for marriage,"Dua for istikhara – Arabic, Transliteration & Meaning","Dua for istikhara in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Extremely high,  consistent search volume (marriage/decision-making) - do not deprioritize just because its chapter has only 1 dua.",26:74,ready,
18,Dua Qunut,hadith_dua,Sunan Abi Dawud / Tirmidhi (Witr),duas,Dua page owns this head term; cross-link only,dua qunut,dua qunut in english; dua qunut transliteration; qunut witr dua pdf,"Dua qunut – Arabic, Transliteration & Meaning","Dua qunut in Arabic with transliteration and English translation, with the full source reference from Sunan Abi Dawud / Tirmidhi and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,Practicing-Muslim daily/weekly search term with strong repeat-visit potential.,abudawud:1426,blocked,"Class B: abudawud:1426 arabic is a 679-char isnad, not the supplication. Blocked until the Arabic-extraction pass covers it."
19,Dua for entering the mosque,hadith_dua,Hisn al-Muslim,duas,Dua page owns this head term; cross-link only,dua for entering the mosque,dua when entering masjid; entering mosque dua in english,Dua for entering the mosque – Arabic & English Meaning,"Dua for entering the mosque in Arabic with transliteration and English translation, sourced from Hisn al-Muslim.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Everyday habitual query, low competition long-tail win.",13:20,ready,
20,Dua for travelling (safar),hadith_dua,Hisn al-Muslim,duas,Dua page owns this head term; cross-link only,safar dua,dua for travelling; dua for a safe journey; safar ki dua; dua for travelling by car or plane,"Safar dua – Arabic, Transliteration & Meaning","Safar dua in Arabic with transliteration and English translation, with the source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,1,"Consistently high global volume, especially around Hajj/Umrah and holiday travel seasons.",96:207,ready,
21,Rabbi irhamhuma kama rabbayani sagheera,quran_verse,Quran 17:24,duas,Dua page owns this head term; cross-link only,dua for parents mercy,rabbi irhamhuma dua meaning; dua for parents in quran; rabbir hamhuma kama rabbayani,"Dua for parents mercy – Arabic, Transliteration & Meaning","Dua for parents mercy in Arabic with transliteration and English translation, with the full source reference from the Qur'an (17:24) and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Confirmed by multiple dedicated competitor pages (azkar.me, alim.org) - distinct from the 'forgiveness' parents dua (rank 13); this one is the 'mercy' verse, extremely widely memorized.",quran:17:24,ready,"Ingested Session 0.6 (Pickthall, resource_id 19). build_gate = awaiting-original-rendering. Full-ayah record: needs verified dua_clause_arabic."
22,Talbiyah - Labbaik Allahumma Labbaik,hadith_dua,Hisn al-Muslim / Hajj Sunnah,duas,Dua page owns this head term; cross-link only,talbiyah dua,labbaik allahumma labbaik meaning; talbiyah in english transliteration; talbiyah dua for hajj and umrah,"Talbiyah dua – Arabic, Transliteration & Meaning","Talbiyah dua in Arabic with transliteration and English translation, sourced from Hisn al-Muslim / Hajj Sunnah.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Massive seasonal search spike every Hajj/Umrah season (Dhul Hijjah + Umrah trips year-round) - one of the most chanted/searched phrases in the entire corpus. Treat as Tier A.,115:233,ready,
23,Dua for the Day of Arafat,hadith_dua,Hisn al-Muslim (invocation-to-be-recited-on-the-day-of-arafat),duas,Dua page owns this head term; cross-link only,dua for day of arafat,best dua on day of arafat; day of arafat dua in english; la ilaha illallah wahdahu dua,"Dua for day of arafat – Arabic, Transliteration & Meaning","Dua for day of arafat in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Huge seasonal spike (the single most emphasized day for dua acceptance in Islam) - Tier A during Dhul Hijjah.,119:237,ready,
24,Kaffaratul Majlis,hadith_dua,Hisn al-Muslim (the-expiation-of-assembly-kaffaratul-majlis),duas,Dua page owns this head term; cross-link only,kaffaratul majlis dua,subhanaka allahumma wa bihamdika meaning; expiation of the gathering dua; dua after sitting in a gathering,"Kaffaratul majlis dua – Arabic, Transliteration & Meaning","Kaffaratul majlis dua in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Well-known named phrase said after every gathering/meeting - strong daily-use search term with dedicated competitor coverage.,85:196,ready,
25,Ruqyah dua (A'udhu bikalimatillahi at-tammati),hadith_dua,Hisn al-Muslim,duas,Dua page owns this head term; cross-link only,ruqyah dua for protection,audhu bikalimatillahi tammati meaning; dua against evil eye and black magic; ruqyah shariah dua,Ruqyah dua for protection – Arabic & English Meaning,"Ruqyah dua for protection in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Feeds the huge 'protection' occasion cluster with one of its most specifically-searched sub-phrases.,27:97,ready,canonical target for 104:216
26,Dua for waswasa (whispers of Shaytan),hadith_dua,Hisn al-Muslim (invocations-against-the-devil-and-his-promptings),duas,Dua page owns this head term; cross-link only,dua for waswasa,dua to stop shaytan whispers; a'udhu billahi minash shaitanir rajim meaning; dua for intrusive thoughts islam,"Dua for waswasa – Arabic, Transliteration & Meaning","Dua for waswasa in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Confirmed active content topic (dedicated blog coverage found) - growing search category tied to mental-health-and-faith trend,  same cluster as distress/anxiety.",,dropped,"DROPPED. Hisn ch.45 holds 3 remedies, not supplications — no recitable text exists in the corpus. Keyword 'dua for waswasa' parked; do not reassign it to another page."
27,Dua after waking up (Alhamdu lillahil-ladhi ahyana),hadith_dua,Hisn al-Muslim (supplications-for-when-you-wake-up),duas,Dua page owns this head term; cross-link only,dua after waking up,alhamdulillahi ahyana ba'da ma amatana meaning; morning wake up dua in english,"Dua after waking up – Arabic, Transliteration & Meaning","Dua after waking up in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Pairs directly with 'dua before sleeping' (rank in hub list) - give it an equally strong standalone page rather than folding into the sleep hub only.,1:1,ready,
28,Dua for the sick (As'alullahal-'azim),hadith_dua,Hisn al-Muslim (invocations-for-visiting-the-sick),duas,Dua page owns this head term; cross-link only,dua for healing the sick,as'alullahal azim dua meaning; dua for shifa recovery; dua for someone who is sick in english,"Dua for healing the sick – Arabic, Transliteration & Meaning","Dua for healing the sick in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Evergreen high-emotional-intent search,  frequently shared in messaging apps when someone is unwell.",49:148,ready,
29,Dua for entering the market,hadith_dua,Hisn al-Muslim (invocation-for-entering-a-market),duas,Dua page owns this head term; cross-link only,dua for entering the market,la ilaha illallah wahdahu la sharika lah dua; dua for the marketplace in islam,Dua for entering the market – Arabic & English Meaning,"Dua for entering the market in Arabic with transliteration and English translation, sourced from Hisn al-Muslim.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Everyday habitual query,  very low competition.",98:209,ready,
30,Dua for thunder,hadith_dua,Hisn al-Muslim (invocation-for-when-it-thunder),duas,Dua page owns this head term; cross-link only,dua for thunder,subhanal-ladhi yusabbihur-ra'du bihamdihi meaning; dua when you hear thunder,"Dua for thunder – Arabic, Transliteration & Meaning","Dua for thunder in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Weather-event-triggered search spikes,  low competition.",62:168,ready,
31,Dua for new clothes,hadith_dua,Hisn al-Muslim (invocation-for-someone-who-has-put-on-new-clothes / invocation-when-putting-on-new-clothes),duas,Dua page owns this head term; cross-link only,dua for new clothes,dua when wearing new clothes; allahumma lakal hamdu anta kasawtanihi meaning,"Dua for new clothes – Arabic, Transliteration & Meaning","Dua for new clothes in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Popular around Eid (new clothes tradition) - seasonal spike twice a year.,3:6,ready,
32,Dua for visiting graves,hadith_dua,Hisn al-Muslim (invocation-for-visiting-the-graves),duas,Dua page owns this head term; cross-link only,dua for visiting graves,assalamu alaikum ahlad-diyari meaning; dua at the graveyard in english,"Dua for visiting graves – Arabic, Transliteration & Meaning","Dua for visiting graves in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Frequently searched around Fridays and Islamic holidays; pairs with the funeral/bereavement cluster.,60:165,ready,
33,Dua for a traveler (resident's dua for someone leaving),hadith_dua,Hisn al-Muslim / dua-dhikr collection (the-residents-invocations-for-the-traveler),duas,Dua page owns this head term; cross-link only,dua for a traveler,astawdiullah dua meaning; dua to say goodbye to a traveler; dua for someone going on a journey,"Dua for a traveler – Arabic, Transliteration & Meaning","Dua for a traveler in Arabic with transliteration and English translation, sourced from Hisn al-Muslim / dua-dhikr collection.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Companion piece to the main travel dua - people search this specifically when seeing someone off.,101:212,ready,
34,Dua for good news,hadith_dua,Hisn al-Muslim,duas,Dua page owns this head term; cross-link only,dua for good news,alhamdulillah dua for good news; dua when something good happens; shukr dua for good news,"Dua for good news – Arabic, Transliteration & Meaning","Dua for good news in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Positive/shareable search intent,  good for social distribution.",106:218,blocked,Gate 3 defect: arabic field opens with narration frame. Do not build until the field is repaired.
35,Dua for the deceased (funeral prayer),hadith_dua,Hisn al-Muslim (invocations-for-the-dead-in-the-funeral-prayer),duas,Dua page owns this head term; cross-link only,dua for the deceased,funeral prayer dua in english; allahummaghfir lahu warhamhu meaning; dua for a dead person,"Dua for the deceased – Arabic, Transliteration & Meaning","Dua for the deceased in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,Named Salat al-Janazah phrase distinct from the general funeral-illness occasion hub - high emotional-intent search.,55:156,ready,
36,Dua for bad dreams or nightmares,hadith_dua,Hisn al-Muslim (what-to-do-if-you-have-a-bad-dream-or-nightmare),duas,Dua page owns this head term; cross-link only,,dua for nightmares islam; what to do after a bad dream in islam; a'udhu bikalimatillahi tammati min ghadabihi,"Dua for bad dreams – Arabic, Transliteration & Meaning","Dua for bad dreams in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Common late-night search trigger,  low competition,  decent recurring volume.",,dropped,"DROPPED. Corpus holds no bad-dream supplication — ch.31 is two instructions. My repoint to 30:113 was wrong: valid dua, wrong occasion, same re-framing failure as rank 34. Keyword 'dua for bad dreams' parked; do not reassign."
37,Dua for pain in the body,hadith_dua,Hisn al-Muslim (what-to-say-when-you-feel-a-pain-in-your-body),duas,Dua page owns this head term; cross-link only,dua for pain in body,dua for headache islam; bismillah dua for pain meaning; dua for physical pain relief,"Dua for pain in body – Arabic, Transliteration & Meaning","Dua for pain in body in Arabic with transliteration and English translation, with the full source reference from Hisn al-Muslim and when to recite it.",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Everyday health-related search with strong recurring intent,  low competition.",124:243,ready,
38,Dua of Ibrahim for Makkah,quran_verse,Quran 14:35,duas,Dua page owns this head term; cross-link only,dua of ibrahim for makkah,rabbi ij'al hadha baladan aminan meaning; dua for a safe city,Dua of ibrahim for makkah – Arabic & English Meaning,"Dua of ibrahim for makkah in Arabic with transliteration and English translation, sourced from the Qur'an (14:35).",Required before indexing: Block A (original 80-150 word 'when and why to recite' + authentication note) plus at least one Block B component (audio / word-by-word / common-mistake note / FAQ block / sourced fada'il). See DUA-SEO-STRATEGY-v2.md §1.,2,"Well-known Quranic dua,  moderate but steady volume among Quran-study audience.",quran:14:35,ready,Full-ayah record: supplication is a sub-clause. Needs a verified dua_clause_arabic before the Arabic block renders.
